id	resource	source	screen
patchouli-lang:botania:botania.page.dreamwoodSpreader0	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/dreamwood_spreader.json	translation_key:botania.page.dreamwoodSpreader0	/0
patchouli-lang:botania:botania.page.mIntro1	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/intro.json	translation_key:botania.page.mIntro1	/0
patchouli-lang:botania:botania.page.manaMirror0	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/mana_mirror.json	translation_key:botania.page.manaMirror0	/0
patchouli-lang:botania:botania.page.manaTablet1	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/mana_tablet.json	translation_key:botania.page.manaTablet1	/0
patchouli-lang:botania:botania.page.manaVoid0	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/mana_void.json	translation_key:botania.page.manaVoid0	/0
patchouli-lang:botania:botania.page.manastar0	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/manastar.json	translation_key:botania.page.manastar0	/0
patchouli-lang:botania:botania.page.sparkChanger0	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/spark_changer.json	translation_key:botania.page.sparkChanger0	/0
patchouli-lang:botania:botania.page.sparks3	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/sparks.json	translation_key:botania.page.sparks3	/2
patchouli-lang:botania:botania.page.spreader0	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/spreader.json	translation_key:botania.page.spreader0	/0
patchouli-lang:botania:botania.page.spreader10	assets/botania/patchouli_books/lexicon/ru_ru/entries/mana/spreader.json	translation_key:botania.page.spreader10	/6
patchouli-lang:botania:botania.page.cacophonium2	assets/botania/patchouli_books/lexicon/ru_ru/entries/misc/cacophonium.json	translation_key:botania.page.cacophonium2	/2
patchouli-lang:botania:botania.page.decorativeBlocks0	assets/botania/patchouli_books/lexicon/ru_ru/entries/misc/decorative_blocks.json	translation_key:botania.page.decorativeBlocks0	/0
patchouli-lang:botania:botania.page.decorativeBlocks10	assets/botania/patchouli_books/lexicon/ru_ru/entries/misc/decorative_blocks.json	translation_key:botania.page.decorativeBlocks10	/10
patchouli-lang:botania:botania.page.dispenserTweaks0	assets/botania/patchouli_books/lexicon/ru_ru/entries/misc/dispenser_tweaks.json	translation_key:botania.page.dispenserTweaks0	/0
